gen,best,mean,diversity,selpres,sigma
1,0.054007923918161074,0.04936285182036895,0.0016680207102189363,1.0941005619913433,0.25
2,0.05558824262582076,0.05089567520415583,0.0019854114949784426,1.092199728225273,0.24923076923076923
3,0.058900501676357034,0.051976507870850196,0.0023072071830023085,1.133213909305169,0.24846153846153846
4,0.059981425402217375,0.0530605004121828,0.0025484843826410935,1.1304345970405798,0.24769230769230768
5,0.059981425402217375,0.054581808713505195,0.0023506841150921862,1.0989270384397531,0.2469230769230769
6,0.0618615203635079,0.05567265062147723,0.0026613105149579795,1.111165350902893,0.24615384615384617
7,0.0618615203635079,0.056946521954111914,0.002455733549532488,1.0863090183691384,0.2453846153846154
8,0.06271779640201387,0.05750403182159934,0.002259403088328158,1.0906678091127546,0.24461538461538462
9,0.06475977067229566,0.05830041804205434,0.002760106395104937,1.1107942763906415,0.24384615384615385
10,0.06475977067229566,0.05890539254479192,0.002566743674582263,1.099386115168523,0.24307692307692308
11,0.06720776108660349,0.06037565634108357,0.0028481733822848334,1.1131599250353972,0.2423076923076923
12,0.06720776108660349,0.06124381710486086,0.002449382921243317,1.097380344068549,0.24153846153846154
13,0.06855262483957238,0.061757571712596014,0.0031941802839243116,1.1100278546993203,0.24076923076923076
14,0.06855262483957238,0.0628674913947346,0.003075882964313418,1.0904304167179466,0.24
15,0.06946686656640413,0.0636975976577652,0.0027640534765442167,1.0905727864280863,0.23923076923076922
16,0.07295910853999316,0.06468911098837303,0.0031695892806263147,1.1278421889753059,0.23846153846153845
17,0.07295910853999316,0.06480251337068192,0.0030740981454061545,1.125868500233225,0.2376923076923077
18,0.07295910853999316,0.06547867553107162,0.003115928954165805,1.1142422773254148,0.23692307692307693
19,0.07593245832383627,0.06692090151455057,0.0029894128276902556,1.134659823841828,0.23615384615384616
20,0.07593245832383627,0.06733151068170949,0.0030088365139959317,1.1277403039831575,0.2353846153846154
21,0.07593245832383627,0.06841983927305004,0.0028945279773181427,1.1098017640878235,0.23461538461538461
22,0.07593245832383627,0.06919888525114366,0.0032325160883510977,1.0973075367941902,0.23384615384615384
23,0.07593245832383627,0.06934789281263863,0.003123579124903462,1.0949497561373287,0.23307692307692307
24,0.07798037286651816,0.07035277881495712,0.0031126055113192366,1.1084192292051924,0.2323076923076923
25,0.07976646100733148,0.07123080991149974,0.003034534573997861,1.1198308864722555,0.23153846153846153
26,0.07976646100733148,0.07174064231041369,0.003375330858283025,1.1118726908269232,0.23076923076923078
27,0.07976646100733148,0.07243278253254207,0.0030755550238468175,1.1012480567275542,0.23
28,0.08033344543143281,0.07323755400980683,0.0033577729822088873,1.0968887003063457,0.22923076923076924
29,0.08550395657885297,0.07500011714864464,0.003172216207982608,1.1400509736456879,0.22846153846153847
30,0.08550395657885297,0.07603914055048462,0.002804723611362712,1.1244729485347664,0.2276923076923077
31,0.08550395657885297,0.07643141868456105,0.0026777661032402617,1.118701681199129,0.22692307692307692
32,0.08550395657885297,0.07705168010304274,0.0029997041062428836,1.1096961995443426,0.22615384615384615
33,0.08550395657885297,0.07777493630174266,0.003083111243604223,1.0993767484054773,0.22538461538461538
34,0.08550395657885297,0.07904355105674368,0.0026221214798429135,1.0817322278128862,0.2246153846153846
35,0.08550395657885297,0.079316778848392,0.0027777573108050016,1.0780059127500285,0.22384615384615386
36,0.08550602292081345,0.0798018285483901,0.002670758077735559,1.0714794945953456,0.22307692307692306
37,0.08582335567482065,0.08116383382712755,0.0026740894618793956,1.0574088436681972,0.22230769230769232
38,0.08747601984695576,0.08136739466051215,0.002689735985251536,1.075074607119111,0.22153846153846155
39,0.09001542201514696,0.08232038003457974,0.0026679700303142055,1.0934767548125364,0.22076923076923077
40,0.09001542201514696,0.08257882682014465,0.0029349701429967306,1.090054502847311,0.22
41,0.09001542201514696,0.08352726119502937,0.0028228768368147176,1.0776771646441066,0.21923076923076923
42,0.09159568068804429,0.08389264973946639,0.003016741891020952,1.0918200935660052,0.21846153846153846
43,0.09159568068804429,0.0853570866494363,0.0030492806952839534,1.0730881791248341,0.21769230769230768
44,0.09274589480285829,0.08608821511734288,0.00279789535532708,1.0773355525659423,0.21692307692307694
45,0.09274589480285829,0.08690484665051959,0.0025801542831241013,1.0672119953887955,0.21615384615384614
46,0.09344818068626981,0.08746120631372874,0.002732426091561042,1.0684529132958152,0.2153846153846154
47,0.09344818068626981,0.08804952403148683,0.0024901602639857325,1.0613138652839553,0.2146153846153846
48,0.09353882393230238,0.08794505527463871,0.0027847974176308183,1.0636052662676168,0.21384615384615385
49,0.09353882393230238,0.0881971125733954,0.002584779171544734,1.0605656036013849,0.21307692307692308
50,0.09537902498125005,0.08831725868435017,0.0024578657041212444,1.0799590748410675,0.2123076923076923
51,0.09537902498125005,0.08888368336121658,0.0026050223605876936,1.0730768727668147,0.21153846153846154
52,0.09537902498125005,0.08912909970252186,0.0026576240193957085,1.0701221632394806,0.21076923076923076
53,0.09577408970764086,0.09046672860373854,0.0026897044317852484,1.0586664421916876,0.21
54,0.09742183741873725,0.09082050859503377,0.002594619769038904,1.0726854421520433,0.20923076923076922
55,0.09742183741873725,0.09137840775236385,0.0026821924546011513,1.0661362986620553,0.20846153846153848
56,0.09742183741873725,0.09234150946073671,0.00246615560892677,1.0550167306953182,0.20769230769230768
57,0.09887140427822637,0.09315411458848635,0.0026521264550615196,1.061374526664726,0.20692307692307693
58,0.10031072523823538,0.09397445654141072,0.0027234070817713178,1.0674254359112205,0.20615384615384613
59,0.10127893365174201,0.09488529752387327,0.0027874048656600257,1.0673827905346462,0.2053846153846154
60,0.10524728536574669,0.09561127282344672,0.002850488100832971,1.10078322626343,0.20461538461538462
61,0.10524728536574669,0.0963590250459928,0.003099552011596698,1.0922410777351834,0.20384615384615384
62,0.10524728536574669,0.09776819871672886,0.0027389025734713404,1.0764981532562297,0.20307692307692307
63,0.10524728536574669,0.09799759237065099,0.0023909108759582963,1.073978276605772,0.2023076923076923
64,0.10524728536574669,0.09855551271158056,0.0026284699243171797,1.067898511915304,0.20153846153846153
65,0.10660797355188265,0.0996209584087159,0.0026525951228526397,1.0701359960270713,0.20076923076923076
66,0.10660797355188265,0.10047648517299987,0.0027769389694762624,1.0610241129387201,0.2
67,0.10694456207171375,0.10167027202708331,0.002645175904540267,1.0518764230632278,0.19923076923076924
68,0.10774993033240375,0.10235424426844944,0.002338412547213776,1.0527158018948661,0.19846153846153847
69,0.10885276874945293,0.10316296550692512,0.0023555535082534756,1.0551535448265672,0.1976923076923077
70,0.10885276874945293,0.10353331970398014,0.002082960956746782,1.0513791025022865,0.19692307692307692
71,0.10885276874945293,0.10335725633105138,0.002181252588020823,1.0531700686868035,0.19615384615384615
72,0.10885276874945293,0.10403462047606667,0.0018742069810308492,1.0463129317081008,0.19538461538461538
73,0.10885276874945293,0.10366674620569497,0.002158620677509413,1.0500259025538228,0.1946153846153846
74,0.10885276874945293,0.10470815435493575,0.002200180050438227,1.03958253700536,0.19384615384615383
75,0.10957670749720107,0.10490382203669053,0.0022966899832753225,1.0445444729256497,0.1930769230769231
76,0.10957670749720107,0.10534517821072067,0.0021165870599568373,1.0401682294183043,0.1923076923076923
77,0.1112653405158921,0.10596778602935455,0.002037820833538461,1.0499921219932824,0.19153846153846155
78,0.1112653405158921,0.10602667089059126,0.0019189343338333398,1.0494089796585861,0.19076923076923077
79,0.1112653405158921,0.10591293960726944,0.002449906097970014,1.0505358545279702,0.19
80,0.1112653405158921,0.10664955021102147,0.002161056863939593,1.0432799791066873,0.18923076923076923
81,0.11369714697361946,0.10706507978219548,0.002287034976985095,1.0619442604901217,0.18846153846153846
82,0.1149072758743451,0.10787084338621082,0.0023406761999464325,1.0652301610634645,0.18769230769230769
83,0.1149072758743451,0.10860634997814625,0.0019227617892704305,1.058016183192481,0.18692307692307691
84,0.1149072758743451,0.10874972156878329,0.0023734987997732467,1.0566213339835284,0.18615384615384617
85,0.1149072758743451,0.1092308817097177,0.0019460075937540585,1.0519669353188275,0.18538461538461537
86,0.1149072758743451,0.10934222600842632,0.0024440280773418673,1.0508957067097748,0.18461538461538463
87,0.1149072758743451,0.11001815974727272,0.0018856851561797454,1.0444391738446033,0.18384615384615385
88,0.11563755672189645,0.1103032552967252,0.002170055061744234,1.0483603263640906,0.18307692307692308
89,0.11563755672189645,0.11106622958695882,0.002095567133490559,1.041158569548438,0.18230769230769228
90,0.11573086533246968,0.11122745087759342,0.0019608821910271127,1.0404883364614037,0.18153846153846154
91,0.11600928113648042,0.11135082415482825,0.0018134333470694458,1.041835855432689,0.18076923076923077
92,0.11614497794231694,0.11152049028667185,0.0018063711816756348,1.0414676051347829,0.18
93,0.11614497794231694,0.11183302022192568,0.001904772834695235,1.038557106942426,0.17923076923076922
94,0.1163045806826723,0.11213188585705611,0.0018657454448182253,1.0372123842716376,0.17846153846153845
95,0.1163045806826723,0.11277846115824434,0.0019729578191006315,1.0312658949963887,0.1776923076923077
96,0.11637589677104498,0.1130585738409966,0.0017064042114143853,1.029341630779049,0.1769230769230769
97,0.11639752233115493,0.11318742742400316,0.0016205775074041701,1.028360878767274,0.17615384615384616
98,0.11713691534580371,0.11336526587278724,0.0016471346136538157,1.0332698860094311,0.17538461538461536
99,0.11713691534580371,0.1133441771160451,0.0017347944325777959,1.0334621356496814,0.17461538461538462
100,0.11713691534580371,0.11342917590064797,0.0019723384580408623,1.032687705043395,0.17384615384615384
101,0.1173531670830759,0.11393132126603589,0.001560066688876186,1.0300342853836464,0.17307692307692307
102,0.1173531670830759,0.11386994892559595,0.0015329114607247297,1.0305894416423769,0.1723076923076923
103,0.1173531670830759,0.11361445287552359,0.001972094103431829,1.0329070299854233,0.17153846153846153
104,0.11834128413061348,0.11432762153771012,0.0020552414402268066,1.035106674475682,0.17076923076923078
105,0.11834128413061348,0.11461184987740962,0.0016400418765455563,1.0325396916391536,0.16999999999999998
106,0.11834128413061348,0.11484353912275298,0.0017106215573301931,1.0304566110952211,0.16923076923076924
107,0.11901658886343386,0.11490515270494495,0.0020014601699865266,1.0357811295812496,0.16846153846153847
108,0.11901658886343386,0.11536805652336382,0.0016577061077244538,1.0316251521436626,0.1676923076923077
109,0.11962091595896052,0.11559934892975088,0.001914526970518174,1.0347888380552517,0.16692307692307692
110,0.12020764427668414,0.1161947914057438,0.002120332914616984,1.0345355658579198,0.16615384615384615
111,0.12020764427668414,0.11622640209550228,0.0019009013189035145,1.034254197922349,0.16538461538461538
112,0.12020764427668414,0.11697134613420515,0.0016878402297371908,1.027667443775212,0.1646153846153846
113,0.12161295871535291,0.11683821080185038,0.0019373583697760732,1.0408663217344212,0.16384615384615386
114,0.12161295871535291,0.11677522533822286,0.0019328228009716229,1.0414277374598784,0.16307692307692306
115,0.12178164847588419,0.11716368118409501,0.0020799805483183256,1.0394146654075602,0.1623076923076923
116,0.12183112515248541,0.11771171489155856,0.0019409157002944826,1.0349957543709378,0.16153846153846152
117,0.12287141184672486,0.11822230435011512,0.002058823749914943,1.039325130077328,0.16076923076923078
118,0.12318735054685678,0.11860325585603207,0.0019113460558166121,1.0386506648383176,0.15999999999999998
119,0.12383581346810638,0.11917554383164952,0.0017781009219505618,1.039104244768877,0.15923076923076923
120,0.12383581346810638,0.11939472091884813,0.0019357418263007667,1.0371967245710707,0.15846153846153846
121,0.12383581346810638,0.11962068953812097,0.0018386368786703783,1.0352374154191957,0.1576923076923077
122,0.12383581346810638,0.11992071185322764,0.0017242426275956104,1.0326474180679521,0.15692307692307692
123,0.12493327743656185,0.12018101198065759,0.0017782024035971791,1.0395425648160552,0.15615384615384614
124,0.12536141852355986,0.12070190837322188,0.0018518248838302227,1.0386034505430546,0.1553846153846154
125,0.12579373623264017,0.12091465934800905,0.0018237023916404087,1.0403514090924946,0.1546153846153846
126,0.12579373623264017,0.12127099033892463,0.0017359295132364234,1.0372945407724923,0.15384615384615385
127,0.12579373623264017,0.12168260396883382,0.0017973410472212888,1.0337857025549793,0.15307692307692305
128,0.12784992330705874,0.12218751834684624,0.001689307711522091,1.0463419262198204,0.1523076923076923
129,0.12784992330705874,0.12251544404166417,0.001971720530942289,1.0435412800983723,0.15153846153846154
130,0.12784992330705874,0.12277222147103359,0.0019981730650318837,1.0413587192215397,0.15076923076923077
131,0.12784992330705874,0.12296431725278356,0.0016193186284579198,1.0397319007938832,0.15
132,0.12784992330705874,0.1230575607857052,0.0015857095068815203,1.0389440721135295,0.14923076923076922
133,0.12784992330705874,0.12319334273758105,0.0018489112621536679,1.0377989627199,0.14846153846153848
134,0.12784992330705874,0.12304880424153408,0.0017835108664501637,1.039018006677257,0.14769230769230768
135,0.12784992330705874,0.12355966721183405,0.001786470822386231,1.0347221402585147,0.14692307692307693
136,0.12861387354036055,0.12391817484787701,0.001928291803939661,1.0378935430436094,0.14615384615384613
137,0.12861387354036055,0.12416625683991171,0.0017152051141857247,1.0358198500433429,0.1453846153846154
138,0.12861387354036055,0.12459607762555702,0.0016398383909565167,1.0322465682015933,0.14461538461538462
139,0.12909341551036033,0.12445496506661484,0.0018728364105095364,1.0372701116525382,0.14384615384615385
140,0.12909341551036033,0.12505158551875106,0.0018199401854631747,1.0323213014440604,0.14307692307692307
141,0.12915865122764508,0.12588251023619784,0.0015359061954319834,1.0260253865711773,0.1423076923076923
142,0.12915865122764508,0.1258688819039191,0.0016610623548049392,1.0261364784843103,0.14153846153846153
143,0.13014192154000465,0.12643231252021842,0.0015609240215361576,1.0293406720627134,0.14076923076923076
144,0.13014192154000465,0.12664176578838893,0.0013686336830205214,1.0276382418535153,0.13999999999999999
145,0.13092434675660933,0.12706216718963273,0.0014359268304356843,1.0303959837330063,0.1392307692307692
146,0.13092434675660933,0.12738450258561948,0.0015701783025833308,1.0277886563839318,0.13846153846153847
147,0.13146548133677446,0.12764808150181395,0.0016871261660297288,1.0299056577274628,0.13769230769230767
148,0.13228979199962232,0.12809951936195557,0.0016413184082709029,1.0327110722861246,0.13692307692307693
149,0.13228979199962232,0.12833246847707508,0.0015779360371853091,1.0308364950001268,0.13615384615384615
150,0.13228979199962232,0.12860815026179967,0.0015834482163938721,1.0286268150994176,0.13538461538461538
